date_time,city_area,state,country,ufo_shape,encounter_length,description,date_documented,latitude,longitude,time,weekday,month
2012-01-11 19:00:00,sacramento,ca,us,disk,300.0,Sacramento ufo arden mall sighting 01/11/12,1/12/2012,38.5816667,-121.4933333,19:00,Wednesday,January
1995-10-15 01:45:00,fostoria,oh,us,diamond,1200.0,it was amazing the way they stood perfectly still and took off .,11/28/2007,41.1569444,-83.4169444,01:45,Sunday,October
2006-05-22 22:30:00,round lake,il,us,oval,4.0,an orange football shaped object in round lake sky so fast it made after images(trail),7/16/2006,42.3533333,-88.0933333,22:30,Monday,May
2008-07-05 22:51:00,lucerne valley,ca,us,unknown,6.0,10:51pm 07/05/08 extremely fast and went well above and beyond normal air traffic that was flying at the same time my fiance had quit s,8/12/2008,34.4438889,-116.9669444,22:51,Saturday,July
2013-10-23 05:28:00,marlboro,nj,us,triangle,90.0,Large low flying aircraft with flashing red lights flying just over the tree line. Seemed very peculiar and quite dangerous.,10/23/2013,40.3152778,-74.2466667,05:28,Wednesday,October
2011-02-22 15:10:00,kettering,oh,us,circle,1.0,((HOAX??))  A silvery medium-sized object zoomed across the sky.,2/23/2011,39.6894444,-84.1688889,15:10,Tuesday,February
2009-09-08 21:00:00,isanti,mn,us,formation,300.0,2 Strange lights in a line formation.  ((NUFORC Note:  ISS and Space Shuttle in formation.  PD)),12/12/2009,45.4902778,-93.2475,21:00,Tuesday,September
2010-12-13 06:45:00,los angeles,ca,us,changing,900.0,UFO impersonating a large jet aircraft&#44 but had abnormal contrail appearance.,1/5/2011,34.0522222,-118.2427778,06:45,Monday,December
2013-07-03 21:15:00,myrtle beach,sc,us,fireball,300.0,Flaming fireball separate into 4 fireballs,7/5/2013,33.6888889,-78.8869444,21:15,Wednesday,July
2008-02-19 03:24:00,boring,or,us,fireball,3.0,Boring&#44 Oregon sighted fireball heading south,3/4/2008,45.43,-122.3736111,03:24,Tuesday,February
1967-07-20 20:00:00,west palm beach,fl,us,fireball,90.0,Object came from southwest horizon heading northeast.  Brightly colored as if burning.,4/2/1999,26.7052778,-80.0366667,20:00,Thursday,July
1971-10-29 16:00:00,bristol,ct,us,triangle,300.0,very large object seen over the west end,10/12/2001,41.6716667,-72.9497222,16:00,Friday,October
2006-03-06 21:00:00,avery,mo,us,triangle,5400.0,Orange Lights And  A Very Large Triangle Watched,5/15/2006,38.0677778,-93.36,21:00,Monday,March
2002-10-20 00:00:00,albany (maybe new york),ny,us,cigar,2.0,I am passing this on from my friend&#44 as I did not see the news report.  He said that on the local news&#44 a CBS station here in Jacksonvi,10/28/2002,42.6525,-73.7566667,24:00,Sunday,October
2011-03-21 21:27:00,vero beach,fl,us,light,120.0,Amber light moving westward over Vero Beach&#44  Florida.,3/23/2011,27.6383333,-80.3975,21:27,Monday,March
2014-04-17 22:00:00,west milford,nj,us,triangle,1800.0,I was riding in the car with my mom and out of no where this triangular spaceship flies very low right over our car. It had 4 lights in,4/18/2014,40.5686111,-75.095,22:00,Thursday,April
